Position,Player,Country,Rating
1,784,Shubman Gill,
2,766,Babar Azam,
3,756,Rohit Sharma,
4,736,Virat Kohli,
5,720,Daryl Mitchell,
6,708,Harry Tector,
7,704,Shreyas Iyer,
8,694,Charith Asalanka,
9,676,Ibrahim Zadran,
10,660,Shai Hope,
11,659,Keacy Carty,
12,650,Travis Head,
13,648,Rassie van der Dussen,
14,641,Pathum Nissanka,
15,638,Lokesh Rahul,
16,626,Ben Duckett,
17,625,Paul Stirling,
18,624,Rachin Ravindra,
19,622,Rahmanullah Gurbaz,
20,613,Kusal Mendis,
21,606,Mohammad Mohammad Rizwan,
22,604,David Miller,
23,602,Fakhar Zaman,
23,602,Joe Root,
25,598,Azmatullah Omarzai,
26,596,Aiden Markram,
27,594,Glenn Phillips,
28,593,Najmul Hossain Shanto,
29,585,Temba Bavuma,
30,583,Will Young,
31,580,Kane Williamson,
32,579,Sherfane Rutherford,
33,578,Sikandar Raza,
34,576,Marnus Labuschagne,
35,565,Imam-ul-Haq,
36,559,Scott Edwards,
37,555,Rahmat Shah,
37,555,Saim Ayub,
39,553,George Munsey,
40,550,Tom Latham,
40,550,Salman Agha,
42,546,Jos Buttler,
43,542,Glenn Maxwell,
44,539,Gerhard Erasmus,
45,537,Alex Carey,
46,532,Devon Conway,
47,530,Harry Brook,
48,524,Andrew Balbirnie,
49,522,Sean Williams,
50,517,Max O'Dowd,
51,515,Janith Liyanage,
52,508,Hashmatullah Shahidi,
53,507,Mitchell Marsh,
54,505,Monank Patel,
55,502,Curtis Campher,
56,496,Mohammad Mohammad Nabi,
57,495,Sadeera Samarawickrama,
58,494,Towhid Hridoy,
59,493,Richard Berrington,
60,488,Avishka Fernando,
61,485,Brandon McMullen,
62,482,Jatinder Singh,
63,479,Craig Ervine,
64,476,Liam Livingstone,
65,473,Michael van Lingen,
65,473,Brandon King,
67,471,Mehidy Hasan,
67,471,Brian Bennett,
69,467,Muhammad Waseem,
70,465,Liton Das,
70,465,Tony de Zorzi,
70,465,Lorcan Tucker,
73,459,Philip Salt,
74,456,Sulehri,
75,455,Vriitya Aravind,
76,453,Asif Khan,
76,453,Mark Chapman,
78,450,Soumya Sarkar,
79,443,Jan Nicol Loftie-Eaton,
80,441,Sediqullah Atal,
81,440,Josh Inglis,
82,438,Hardik Pandya,
82,438,Michael Leask,
82,438,Aaron Jones,
85,434,Michael Bracewell,
86,433,Pargat Singh,
87,428,Kushal Bhurtel,
88,426,Vikramjit Singh,
89,425,Evin Lewis,
90,424,Aarif Sheikh,
91,423,Jaker Ali,
92,421,Saiteja Mukkamalla,
92,421,George Dockrell,
94,420,Milind Kumar,
94,420,Aasif Sheikh,
96,419,Abdullah Shafique,
96,419,Mohammad Nadeem,
98,417,Teja Nidamanuru,
99,416,Bas de Leede,
99,416,R.K. Paudel,
