Position,Player,Country,Rating
1,680,Maheesh Theekshana,
2,650,Kuldeep Yadav,
3,648,Keshav Maharaj,
4,644,Bernard Scholtz,
5,640,Rashid Khan,
6,637,Mitchell Santner,
7,622,Matt Henry,
8,616,Ravindra Jadeja,
9,614,Adam Zampa,
10,603,Josh Hazlewood,
11,601,Shaheen Afridi,
12,596,Mohammed Shami,
13,593,Mohammed Siraj,
14,590,Mohammad Mohammad Nabi,
15,587,Adil Rashid,
16,579,Gudakesh Motie-Kanhai,
17,577,Kagiso Rabada,
18,574,Alzarri Joseph,
19,572,Wanindu Hasaranga,
20,569,Michael Bracewell,
21,562,Saurabh Netravalkar,
21,562,Mitchell Starc,
23,557,Richard Ngarava,
24,555,Haris Rauf,
24,555,Marco Jansen,
26,545,Jofra Archer,
27,544,Mark Adair,
28,528,Taskin Ahmed,
28,528,Mehidy Hasan,
30,524,Mark Watt,
31,522,Andy McBrine,
32,516,Blessing Muzarabani,
32,516,Lungi Ngidi,
34,515,Nosthush Kenjige,
35,507,Mustafizur Rahman,
36,506,Dunith Wellalage,
37,504,Axar Patel,
38,502,Sikandar Raza,
39,499,Pat Cummins,
40,496,Brandon McMullen,
40,496,Azmatullah Omarzai,
42,494,Naseem Shah,
43,492,William O’Rourke,
43,492,Aryan Dutt,
45,490,Mohammad Shoriful Islam,
46,489,Graham Hume,
47,486,Fazalhaq Farooqi,
48,479,Lalit Rajbanshi,
49,478,Saqib Mahmood,
50,475,Aayan Afzal Khan,
50,475,Craig Young,
52,473,Shakeel Ahmed,
53,471,Sean Abbott,
54,470,Sandeep Lamichhane,
55,465,Dilshan Madushanka,
56,458,Joshua Little,
57,456,Jayden Seales,
57,456,Abrar Ahmed,
59,453,Asitha Fernando,
60,449,Kaleemullah,
61,445,Paul van Meekeren,
61,445,Jacob Duffy,
63,433,Reece Topley,
64,430,Junaid Siddique,
65,429,Tabraiz Shamsi,
66,425,Safyaan Sharif,
67,423,Mohammad Wasim,
67,423,Roston Chase,
69,422,Harmeet Singh,
70,421,Matthew Forde,
71,417,Kaleem Sana,
71,417,Nasum Ahmed,
73,415,Hardik Pandya,
74,414,AM Ghazanfar,
74,414,Roelof van der van der Merwe,
76,411,Glenn Maxwell,
77,409,Dipendra Airee,
77,409,Gerhard Erasmus,
77,409,Christophe Sole,
77,409,Jeffrey Vandersay,
81,408,Bilal Khan,
82,406,Tangeni Lungameni,
82,406,Zeeshan Maqsood,
84,403,Karan KC,
85,402,Varun Chakravarthy,
85,402,Barry McCarthy,
87,399,Ruben Trumpelmann,
88,398,Mark Wood,
89,397,Nathan Ellis,
90,393,Khan,
91,392,Saad Bin Zafar,
92,385,Washington Sundar,
93,383,Michael Leask,
93,383,Sompal Kami,
93,383,Wellington Masakadza,
96,382,Romario Shepherd,
97,376,Vivian Kingma,
98,373,Curtis Campher,
99,361,Sam Curran,
100,357,Bjorn Fortuin,
