Position,Player,Country,Rating
1,856,Travis Head,
2,829,Abhishek Sharma,
3,804,N.T. Tilak Varma,
4,791,Philip Salt,
5,772,Jos Buttler,
6,739,Suryakumar Yadav,
7,714,Pathum Nissanka,
8,708,Tim Seifert,
9,676,Kusal Perera,
9,676,Reeza Hendricks,
11,673,Yashasvi Jaiswal,
12,661,Babar Azam,
13,654,Mohammad Mohammad Rizwan,
14,648,Shai Hope,
15,641,Josh Inglis,
16,635,Ben Duckett,
17,629,Finn Allen,
18,628,Kusal Mendis,
19,619,Rahmanullah Gurbaz,
20,607,Rovman Powell,
21,604,Muhammad Waseem,
22,598,Saiteja Mukkamalla,
23,597,Aiden Markram,
24,594,Johnson Charles,
25,593,George Munsey,
26,590,Mitchell Marsh,
27,589,Ruturaj Gaikwad,
28,587,Tristan Stubbs,
29,580,Mohammad Haris,
30,577,Michael Levitt,
31,573,Tim David,
32,572,Quinton de Kock,
32,572,Glenn Phillips,
34,570,Ibrahim Zadran,
35,567,Brandon King,
36,566,Sanju Samson,
37,562,Glenn Maxwell,
38,560,Charith Asalanka,
38,560,Harry Brook,
38,560,Andries Gous,
41,548,Towhid Hridoy,
42,546,Shubman Gill,
43,542,Liam Livingstone,
44,541,Jonny Bairstow,
45,540,Mark Chapman,
45,540,Hasan Nawaz,
47,527,Daryl Mitchell,
48,526,David Miller,
49,525,Richard Berrington,
50,523,Marcus Stoinis,
51,518,Liton Das,
52,511,Tanzid Hasan,
53,509,Max O'Dowd,
54,508,Hardik Pandya,
55,499,Devon Conway,
55,499,Rinku Singh,
57,494,Paul Stirling,
58,488,Brandon McMullen,
59,487,Shivam Dube,
60,485,Saim Ayub,
61,483,Dipendra Airee,
62,482,Brian Bennett,
63,479,Mohammad Mohammad Nabi,
64,472,R.K. Paudel,
65,465,Najmul Hossain Shanto,
66,462,Jaker Ali,
67,461,Jacob Bethell,
68,460,Sikandar Raza,
69,450,Andrew Balbirnie,
69,450,Nikolaas Davin,
71,448,Kyle Mayers,
72,447,Evin Lewis,
73,444,Alishan Sharafu,
74,437,Jamie Smith,
75,436,Aasif Sheikh,
76,430,Salman Agha,
76,430,Hazratullah Zazai,
78,425,Dasun Shanaka,
79,423,Najibullah Zadran,
79,423,Matthew Short,
81,420,Anshuman Rath,
82,418,Tony Ura,
83,417,Matthew Cross,
84,416,Asif Khan,
85,409,Gerhard Erasmus,
86,407,Bhanuka Rajapaksa,
87,406,Fakhar Zaman,
88,402,Harry Tector,
89,401,Matthew Wade,
89,401,J.J. Smit,
91,395,Romario Shepherd,
91,395,Curtis Campher,
93,394,Kushal Bhurtel,
94,391,Sherfane Rutherford,
95,389,Muhammad Tanveer,
96,385,Parvez Hossain Emon,
97,383,Iftikhar Ahmed,
98,378,Scott Edwards,
99,376,Lorcan Tucker,
100,375,Nicholas Kirton,
