Position,Player,Country,Rating
1,723,Jacob Duffy,
2,710,Adil Rashid,
3,706,Varun Chakravarthy,
4,700,Wanindu Hasaranga,
5,697,Akeal Hosein,
6,694,Adam Zampa,
7,674,Ravi Bishnoi,
8,666,Maheesh Theekshana,
9,664,Rashid Khan,
10,653,Arshdeep Singh,
11,642,Gudakesh Motie-Kanhai,
12,636,Axar Patel,
13,630,Jofra Archer,
14,629,Nathan Ellis,
15,627,Fazalhaq Farooqi,
16,621,Josh Hazlewood,
17,608,Mitchell Santner,
18,605,Anrich Nortje,
18,605,Haris Rauf,
18,605,Abbas Afridi,
21,603,Mahedi Hasan,
22,601,Naveen-ul-Haq,
23,597,Roston Chase,
24,594,Taskin Ahmed,
25,584,Nuwan Thushara,
26,575,Keshav Maharaj,
26,575,Mustafizur Rahman,
26,575,Matheesha Pathirana,
29,570,Marco Jansen,
29,570,Rishad Hossain,
31,566,Lockie Ferguson,
32,564,Tabraiz Shamsi,
32,564,Rahman,
34,554,Hasan Mahmud,
35,552,Shaheen Afridi,
36,551,Ish Sodhi,
37,535,Kuldeep Yadav,
38,525,Alzarri Joseph,
39,523,Jasprit Bumrah,
40,521,Mark Watt,
41,518,Romario Shepherd,
42,516,Matt Henry,
43,512,Tanzim Hasan Sakib,
43,512,Harmeet Singh,
45,510,Ben Sears,
46,507,Kagiso Rabada,
47,498,Hardik Pandya,
48,497,Pat Cummins,
49,496,Reece Topley,
50,494,Sean Abbott,
51,493,Brydon Carse,
52,492,Washington Sundar,
53,491,Mark Adair,
54,486,Bradley Currie,
55,482,Ottneil Baartman,
56,481,Trent Boult,
57,479,Imad Wasim,
58,476,Sam Curran,
58,476,Shadab Khan,
58,476,Abrar Ahmed,
61,473,Saqib Mahmood,
62,470,Ashton Agar,
63,466,Vivian Kingma,
64,463,Joshua Little,
65,460,Jason Holder,
65,460,Mitchell Starc,
65,460,Zakary Foulkes,
68,459,Mark Wood,
69,448,Paul van Meekeren,
70,447,Binura Fernando,
70,447,Nosthush Kenjige,
72,444,Blessing Muzarabani,
73,443,Mohammed Siraj,
74,436,Mohammad Shoriful Islam,
75,435,Logan van Beek,
75,435,Michael Bracewell,
77,434,Mohammad Mohammad Nabi,
77,434,Aayan Afzal Khan,
79,431,Dipendra Airee,
79,431,Bernard Scholtz,
81,426,Jasdeep Singh,
82,423,Sikandar Raza,
83,421,Lalit Rajbanshi,
84,419,Xavier Bartlett,
85,418,Safyaan Sharif,
86,417,Richard Ngarava,
86,417,Shakeel Ahmed,
88,414,Azmatullah Omarzai,
89,412,Chris Jordan,
90,411,Obed McCoy,
90,411,Ben White,
92,408,Luke Wood,
93,407,Naseem Shah,
94,406,Aryan Dutt,
94,406,Sufiyan Muqeem,
96,404,Barry McCarthy,
97,403,Craig Young,
97,403,Marcus Stoinis,
97,403,Lungi Ngidi,
100,402,Gerhard Erasmus,
